DATE;C;CIRCUIT;DISTRICT;NB_COLIS;PGEO;RUE;NUMEROS_RUE
14/10/2025;547;697;d 1;8;6;rue de fontenay;1, 18, 19, 26, 40, 52, 105, 107, 109, 127, 155, 157, 169, 173, 174, 189, 195, 67, 73, 82, 84, 85, 95, 110, 146, 111, 117, 129, 180, 181, 184, 190, 194, 224, 242, 16, 33, 35, 36, 46, 51, 53, 54, 56, 62, 74, 76, 78, 80, 87, 89, 91, 120, 122
14/10/2025;547;697;d 1;4;3;cours marigny;3, 41, 63
14/10/2025;547;697;d 1;5;3;avenue gabriel peri;15, 23, 35
14/10/2025;547;693;d 2;22;17;avenue de paris;1, 1BIS, 5, 7, 18, 21, 27, 29, 31, 32, 48, 51, 57, 59, 72, 74, 88
14/10/2025;547;694;d 3;20;12;avenue de paris;112, 116, 120, 140, 143, 146, 152, 158, 160, 164BIS, 170, 172
14/10/2025;547;695;d 4;16;11;rue de fontenay;1, 18, 19, 26, 40, 52, 105, 107, 109, 127, 155, 157, 169, 173, 174, 189, 195, 67, 73, 82, 84, 85, 95, 110, 146, 111, 117, 129, 180, 181, 184, 190, 194, 224, 242, 16, 33, 35, 36, 46, 51, 53, 54, 56, 62, 74, 76, 78, 80, 87, 89, 91, 120, 122
14/10/2025;547;696;d 5;8;8;rue de fontenay;1, 18, 19, 26, 40, 52, 105, 107, 109, 127, 155, 157, 169, 173, 174, 189, 195, 67, 73, 82, 84, 85, 95, 110, 146, 111, 117, 129, 180, 181, 184, 190, 194, 224, 242, 16, 33, 35, 36, 46, 51, 53, 54, 56, 62, 74, 76, 78, 80, 87, 89, 91, 120, 122
29/11/2025;546;681;d 2;9;5;rue dohis;1, 5, 8, 10, 22
29/11/2025;546;681;d 2;25;18;rue des laitieres;3, 6, 9, 11, 13, 14, 16, 17, 20BIS, 23, 27, 31, 43, 45, 47, 47BIS, 56
29/11/2025;546;681;d 2;13;8;rue georges huchon;2, 7, 10, 12, 13, 17, 24, 28
29/11/2025;546;681;d 2;16;12;rue de la prevoyance;3, 9, 11, 15, 16, 22, 23, 28, 39, 50, 55, 61
29/11/2025;546;681;d 2;6;3;avenue georges clemenceau;5, 13, 21
29/11/2025;546;681;d 2;14;8;rue renon;1, 1BIS, 2, 3, 4, 14, 24, 36
29/11/2025;546;682;d 3;5;2;rue de lagny;25, 49
29/11/2025;546;682;d 3;7;3;rue fays;14, 26, 30
29/11/2025;546;682;d 3;14;7;rue celine robert;3, 12, 13, 22, 26, 39, 46
29/11/2025;546;682;d 3;2;2;rue charles marinier;RC4, 6
29/11/2025;546;683;d 4;20;12;rue massue;2BIS, 3, 4, 7, 11, 26, 29, 31, 32, 46, 48, 60
29/11/2025;546;684;d 5;7;6;avenue antoine quinson;2, 4, 6, 8, 12, 16
29/11/2025;546;684;d 5;3;3;villa beausejour;3, 6BIS, 13
29/11/2025;546;684;d 5;1;1;rue eugene loeuil;1
29/11/2025;546;684;d 5;3;2;rue du docteur lebel;1, 9
01/12/2025;546;657;d 1;6;6;avenue aubert;22, 26, 28, 30, 36, 40
01/12/2025;542;658;d 2;8;5;rue charles pathe;3, 4, 5, 10, 14
01/12/2025;542;658;d 2;1;1;allee georges pompidou;18
01/12/2025;546;673;d 5;1;1;avenue du chateau;18
01/12/2025;546;681;d 2;3;3;rue dohis;1, 5, 16
01/12/2025;546;681;d 2;14;11;rue des laitieres;3, 9, RC10, 13, 25, 27, 34, 47BIS, 49, 56, 58
01/12/2025;546;681;d 2;9;7;rue georges huchon;3, 6, 7, 9, 17, 25, 28
01/12/2025;546;681;d 2;6;6;rue de la prevoyance;2, 11, 17, 23, 25, 61
01/12/2025;546;681;d 2;5;5;avenue georges clemenceau;12, 14, 15, 17, 21
01/12/2025;546;681;d 2;5;2;rue renon;2, 36
01/12/2025;546;681;d 2;3;3;rue victor basch;4, 14, 32
01/12/2025;546;682;d 3;4;2;rue de lagny;25, 49
01/12/2025;546;682;d 3;10;4;rue fays;14, 24, 26, 30
01/12/2025;546;682;d 3;9;5;rue celine robert;12, 13, 22, 26, 46
01/12/2025;546;682;d 3;2;1;rue charles marinier;1
